<<<ID=1782>>>	Скоро будет добавлено объяснение ...
<<<ID=51>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „დ“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე, მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრა¬ნსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს თანაბარ¬მნიშვნელოვან გზაზე საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ამავე კანონის 51-ე მუხლის პირველი და მე-2 პუნქტების თანახმად: 1. ოპერატიული ან სპეციალური სამსახურის სატრანსპორტო საშუალების მძღოლს, რომელსაც სატრანსპორტო საშუალებაზე ჩართული აქვს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ასრულებს სამსახურებრივ დავალებას, შეუძლია საგზაო მოძრაობის უსაფრთხოების უზრუნველყოფის პირობების დაცვით გადაუხვიოს ამ კანონის 25-ე, 31-ე - 41-ე და 44-ე მუხლების, აგრეთვე ამ კანონის N01 და N02 დანართებით დადგენილ მოთხოვნებს. ლურჯ მოელვარე სპეციალურ ციმციმა სიგნალთან ერთად დამატებით შეიძლება ჩაირთოს წითელი მოელვარე ციმციმა სიგნალიც. სხვა საგზაო მოძრაობის მონაწილეების მიმართ უპირატესობის მისაღებად ამ სატრანსპორტო საშუალების მძღოლმა უნდა ჩართოს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ხმოვანი სიგნალი. პრიორიტეტით სარგებლობა მხოლოდ მაშინ შეიძლება, როცა მძღოლი დარწმუნდება, რომ მას გზას უთმობენ. 2. საგზაო მოძრაობის მონაწილეები ვალდებული არიან, ოპერატიული ან სპეციალური სამსახურის სატრანსპორტო საშუალების მოახლოებისას, რომელსაც ჩართული აქვს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ხმოვანი სიგნალი ან/და რომელიც ხმამაღლამოლაპარაკე ხელსაწყოთი იძლევა სიგნალს, მას, აგრეთვე მის მიერ გასაცილებელ სატრანსპორტო საშუალებას, რომელსაც ჩართული აქვს ახლო განათების ფარები, გაუთავისუფლონ სავალ ნაწილზე ადგილი, ხოლო აუცილებლობის შემთხვევაში − გაჩერდნენ.
<<<ID=116>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-3 პუნქტის „ბ“ ქვეპუნქტის თანახმად, რეგულირებულ გზაჯვარედინზე, შუქნიშნის დამატებით სექციაში ძირითად ყვითელ ან წითელ მაშუქ სიგნალთან ერთად ჩართული ისრის მიმართულებით მოძრაო¬ბისას სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს სხვა მიმართულებიდან მოძრავ სატრანსპორტო საშუალებას.
<<<ID=229>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 33-ე მუხლის მე-7 პუნქტის „ბ.ბ“ ქვეპუნქტის თანახმად, გარდა ამ კანონით დადგენილი შემთხვევებისა, დაუსახლებელ პუნქტსა და დასახლებულ პუნქტში გზის იმ მონაკვეთზე, რომელზედაც შესაბამისი საგზაო ნიშნით მოძრაობა დაშვებულია 60 კმ/სთ-ზე მეტი სიჩქარით, ნებადართულია „B“ კატეგორიის სატრანსპორტო საშუალების მოძრაობა, თუ ის ახორციელებს მსუბუქი მისაბმელის ბუქსირებას, ყველა გზაზე არაუმეტეს 80 კმ/სთ სიჩქარით. ამავე კანონის პირველი დანართის 3.24 პუნქტის თანახმად საგზაო ნიშანი 3.24 „მაქსიმალური სიჩქარის შეზღუდვა” - კრძალავს მოძრაობას ნიშანზე მითითებულზე მეტი სიჩქარით(კმ/სთ), ხოლო ამავე პუნქტის შენიშვნის „ე“ ქვეპუნქტის თანახმად, 3.16, 3.20, 3.22, 3.24, 3.26–3.30 ნიშნების მოქმედება ვრცელდება სათანადო ნიშნის შემდეგ, ნიშნის დადგმის ადგილიდან უახლოეს გზაჯვარედინამდე, ხოლო დასახლებულ პუნქტში გზაჯვარედინის არარსებობისას – დასახლებული პუნქტის ბოლომდე.
<<<ID=1015>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 51-ე მუხლის მე-2 პუნქტის თანახმად, საგზაო მოძრაობის მონაწილეები ვალდებული არიან, ოპერატიული ან სპეციალური სამსახურის სატრანსპორტო საშუალების მოახლოებისას, რომელსაც ჩართული აქვს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ხმოვანი სიგნალი ან/და რომელიც ხმამაღლამოლაპარაკე ხელსაწყოთი იძლევა სიგნალს, მას, აგრეთვე მის მიერ გასაცილებელ სატრანსპორტო საშუალებას, რომელსაც ჩართული აქვს ახლო განათების ფარები, გაუთავისუფლონ სავალ ნაწილზე ადგილი, ხოლო აუცილებლობის შემთხვევაში − გაჩერდნენ.
<<<ID=1091>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 54-ე მუხლის მე-2 პუნქტის „ბ“ ქვეპუნქტის თანახმად, სატრანსპორტო საშუალებები, რომელთა სამართავად სავალდებულოა შესაბამისი მართვის უფლების მოპოვება, იყოფა შემდეგ კატეგორიებად: ბ) „B“ − ავტომობილი (გარდა იმ სატრანსპორტო საშუალებებისა, რომლებიც მიეკუთვნება „A1“ ქვეკატეგორიას ან „A“ კატეგორიას), რომლის ნებადართული მაქსიმალური მასა არ აღემატება 3 500 კგ-ს და რომლის დასასხდომი ადგილების რაოდენობა, გარდა მძღოლის ადგილისა, 8-ს არ აღემატება, აგრეთვე „B“ კატეგორიის ავტომობილი, გადაბმული მისაბმელთან, რომლის ნებადართული მაქსიმალური მასა არ აღემატება 750 კგ-ს, ან „B“ კატეგორიის ავტომობილი, გადაბმული მისაბმელთან, რომლის ნებადართული მაქსიმალური მასა აღემატება 750 კგ-ს, მაგრამ არ აღემატება ავტომობილის დაუტვირთავ მასას, ხოლო ასეთი შემადგენლობის საერთო ნებადართული მაქსიმალური მასა არ აღემატება 3 500 კგ-ს.
<<<ID=1475>>>	მოძრაობის უსაფრთხოების უზრუნველსაყოფად გვერდითი ინტერვალის გაზრდა მიზანშეწონილია როგორც მაღალი სიჩქარით შემხვედრი სატრანსპორტო საშუალების გვერდის აქცევისას, ასევე გრძელი სატრანსპორტო საშუალების გვერდის აქცევისას და სველი, მოლიპული ან უსწორმასწორო გზის მონაკვეთზე მოძრაობისას.
<<<ID=862>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ჟ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები: ჟ) მოყინულ გზაზე მოძრაობისას ერთმანეთის მიყოლებით მოძრავ სატრანსპორტო საშუალებათა შორის არსებული დისტანციის დასაფარავად საჭირო დრო დასახლებულ პუნქტში უნდა იყოს არანაკლებ 6 წამისა, ხოლო დაუსახლებელ პუნქტში − არანაკლებ 9 წამისა. აღნიშნული წესი არ ვრცელდება გასწრების მიზნით იმ სატრანსპორტო საშუალების მოძრაობის ზოლიდან გამოსვლის შემთხვევაზე, რომლის მძღოლსაც გასწრების განზრახვის თაობაზე მიცემული აქვს შესაბამისი სიგნალი.
<<<ID=69>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „გ“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე, თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ასეთ გზაჯვარედინზე რელსიან სატრანსპორტო საშუალებას უპირატესობა აქვს ურელსო სატრანსპორტო საშუალების მიმართ, მიუხედავად მისი მოძრაობის მიმართულებისა.
<<<ID=931>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 48-ე მუხლის მე-3 პუნქტის თანახმად, დასახლებულ პუნქტში გასწრების განზრახვის შესახებ სხვა სატრანსპორტო საშუალების მძღოლის გასაფრთხილებლად შეიძლება ჩაირთოს მანათობელი სიგნალი დღე-ღამის ნათელ დროს ფარების შუქის პერიოდული, ხანმოკლე ჩართვა-გამორთვით, ხოლო დღე-ღამის ბნელ დროს – ფარების ახლო შუქის შორ შუქზე მრავალჯერადი გადართვით, დაუსახლებელ პუნქტში კი − ხმოვანი სიგნალის ნაცვლად ან მასთან ერთად.
<<<ID=800>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-6 პუნქტის თანახმად, მარცხენა მხარეს სავალ ნაწილთან ერთ დონეზე განლაგებული, თანმხვედრი მიმართულების ტრამვაის ლიანდაგების არსებობის შემთხვევაში სატრანსპორტო საშუალების მძღოლი მარცხნივ მოხვევასა და მობრუნებას ასრულებს ამ ვაკისზე, თუ 5.15.1 და 5.15.2 საგზაო ნიშნებით მოძრაობის სხვა წესრიგი დადგენილი არ არის. ამასთანავე, ტრამვაის მოძრაობას არ უნდა შეექმნას დაბრკოლება.
<<<ID=1334>>>	თუ თქვენი სატრანსპორტო საშუალების წინ მიმავალი სატვირთო ავტომობილის მძღოლი აპირებს მარჯვნივ შეუხვიოს ვიწრო სავალი ნაწილის მქონე ქუჩაზე თქვენ უნდა გაითვალისწინოთ, რომ სატრანსპორტო საშუალების დიდი მოხვევის რადიუსის გამო ის უშუალოდ მოსახვევის წინ შეიძლება გადაადგილდეს მარცხნივ, ასევე შეიძლება მკვეთრად შეამციროს სიჩქარე და გადამავალი ქვეითების გზის დათმობის გამო შეიძლება გაჩერდეს მოხვევის შესრულების დროს.
<<<ID=1577>>>	მოძრაობის საპირისპირო მიმართულების ზოლზე გადასვლით გასწრების მანევრის შესრულებისას, საავარიო სიტუაციის შექმნის ერთ-ერთ ძირითადი მიზეზია ის გარემოება, რომ მძღოლი საპირისპირო მიმართულებით მოძრავ სატრანსპორტო საშუალების სიჩქარეს აფასებს, როგორცუფრო ნაკლებს ვიდრე სინამდვილეშია.
<<<ID=1778>>>	Объяснение будет добавлено в ближайшее время...
<<<ID=264>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მე-9 პუნქტის „ბ“ ქვეპუნქტის თანახმად, ამ მუხლის მე-3 პუნქტით დადგენილ მოთხოვნათა გათვალისწინებით გასწრება აკრძალულია რკინიგზის გადასასვლელზე და მის წინ 100 მეტრზე ახლოს, გარდა იმ შემთხვევისა, როცა ამ ადგილებზე მოძრაობა რეგულირდება ისეთი ტიპის შუქნიშნით, რომელიც გზაჯვარედინებზე გამოიყენება.
<<<ID=33>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 30-ე მუხლის მე-5 პუნქტის „გ“ ქვეპუნქტის თანახმად, მარეგულირებლის სიგნალებს აქვთ შემდეგი მნიშვნელობა: გ) წინ გაშვერილი მარჯვენა ხელი − ეს ჟესტი ნიშნავს „სდექ“ სიგნალს მარეგულირებლის მარჯვენა გვერდისა და ზურგის მხრიდან მოძრავი ყველა მძღოლისათვის; ამასთანავე, მარეგულირებლის მარცხენა გვერდის მხრიდან ტრამვაის უფლება აქვს, იმოძრაოს მარცხნივ, ხოლო ურელსო სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს ყველა მიმართულებით. მარეგულირებლის მკერდის მხრიდან ყველა სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს მხოლოდ მარჯვნივ. ქვეითს უფლება აქვს, გადავიდეს სავალ ნაწილზე მარეგუ-ლირებლის ზურგის უკან.
<<<ID=857>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 21-ე მუხლის მე-15 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების მართვა ალკოჰოლური, ნარკოტიკუ¬ლი ან ფსიქოტროპული სიმთვრალის მდგომარეობაში, ან იმ სამკურნალო პრეპარატის ზემოქმედებისას, რომელიც აქვეითებს რეაქციას და ყურადღებას.
<<<ID=492>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის პირველი თავის (მაფრთხილებელი ნიშნები) 1.15 პუნქტის თანახმად საგზაო ნიშანი 1.15 „ციცაბო აღმართი”- იძლევა გაფრთხილებას ციცაბოაღმართიან გზის მონაკვეთთან მიახლოების თაობაზე. ამავე კანონის 35-ე მუხლის მე-2 პუნქტის თანახმად, მთის გზასა და ანალოგიური მახასიათებლების მქონე დიდი დახრილობის გზაზე, აგრეთვე 1.14 და 1.15 საგზაო ნიშნებით აღნიშნულ გზებზე, სადაც გვერდის აქცევა შეუძლებელია ან გართულებულია, დაღმართზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გაჩერდეს და გზა დაუთმოს აღმართზე მოძრავი სატრანსპორტო საშუალების მძღოლს, გარდა იმ შემთხვევისა, როცა გვერდის ასაქცევი ადგილი სავალი ნაწილის გასწვრივ ისეა განლაგებული, რომ აღმართზე მოძრავი სატრანსპორტო საშუალების მძღოლი, სატრანსპორტო საშუალების სიჩქარისა და მდგომარეობის გათვალისწინებით, შეძლებდა მის წინ მდებარე ასაქცევ ადგილზე გაჩერებას, რითაც გამოირიცხებოდა ერთ-ერთი სატრანსპორტო საშუალების უკუსვლით მოძრაობის აუცილებლობა.
<<<ID=1340>>>	თუ გაზონზე ან ტროტუარზე მყოფ მოთამაშე ბავშვებს სატრანსპორტო საშუალების წინ გზის სავალ ნაწილზე გადმოუვარდათ ბურთი, მძღოლმა უნდა გაითვალისწინოს, რომ ბავშვები შეიძლება გამოიქცნენ გზის სავალ ნაწილზე ბურთის ასაღებად.
<<<ID=416>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 39-ე მუხლის პირველი პუნქტის “გ“ ქვეპუნქტის თანახმად, მარეგულირებლის ან შუქნიშნის ამკრძალავი სიგნალის დროს არცერთი საგზაო მოძრაობის მონაწილე არ უნდა შევიდეს რკინიგზის გადასასვლელზე, მიუხედავად შლაგბაუმის ან ნახევარშლაგბაუმის მდგომარეობისა ან მისი არსებობისა. ამავე მუხლის მე-3 პუნქტის თანახმად თუ რკინიგზის გადასასვლელზე მოძრაობა აკრძა¬ლუ¬ლია, მძღოლი ჩერდება „სდექ“ ხაზთან, 2.4 საგზაო ნიშანთან ან შუქნიშანთან, ხოლო მათი არარსებობისას – შლაგბაუმიდან ან ნახევარშლაგბაუმიდან არანაკლებ 5 მეტრისა. თუ არ არის არც შლაგბაუმი და არც ნახევარშლაგბაუმი, მძღოლი უნდა გაჩერდეს უახლოეს რელსამდე არანაკლებ 10 მეტრისა.
<<<ID=115>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-3 პუნქტის „ა“ ქვეპუნქტის თანახმად, რეგულირებულ გზაჯვარედინზე, შუქნიშნის მწვანე სიგნალის ჩართვის დროს მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის მოძრავი ტრამვაის მძღოლებმაც.
<<<ID=1301>>>	აღმართზე მოძრაობის დაწყების შემთხვევაში სადგომი მუხრუჭის ბერკეტის დაშვება მიზანშეწონილია ერთდროულად მოძრაობის დაწყებისას.
<<<ID=179>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 29-ე მუხლის მე-8 პუნქტის თანახმად, რკინიგზის გადასასვლელზე, გასახსნელი ხიდის მისასვლელთან, გემის ან ბორნის მისადგომთან, გზაზე სახანძრო ავტომობილის გამოსასვლელთან და იმ ადგილას, სადაც გზას დაბალ სიმაღლეზე კვეთს საფრენი აპარატის ტრაექტორია, გამოიყენება ერთ სადგარზე, ერთსა და იმავე სიმაღლეზე განლაგებული, ერთ მხარეს მიმართული ორი მორიგეობით მოციმციმე ან ერთი მოციმციმე წითელი ან ყვითელი მაშუქი სიგნალი, რომელთაგან წითელი მაშუქი სიგნალი კრძალავს „სდექ“ ხაზის გადაკვეთას, მისი არარსებობის შემთხვევაში კი − შუქნიშნის იქით გადასვლას, ხოლო ყვითელი მაშუქი სიგნალი ნიშნავს, რომ მძღოლებს შეუძლიათ გააგრძელონ მოძრაობა, მაგრამ, ამასთანავე, ვალდებული არიან, დაიცვან განსაკუთრებული სიფრთხილე. თუ ფერადი მაშუქი სიგნალები გამორთულია, მოძრაობა ნებადართულია მხოლოდ მაშინ, როცა ხილვადობის ფარგლებში არ ჩანს გადასასვლელთან მოახლოებული მატარებელი (ლოკომოტივი, დრეზინა).
